FIPS,State,County,Uninsured
01000,Alabama,,16
01001,Alabama,Autauga,13
01003,Alabama,Baldwin,16
01005,Alabama,Barbour,18
01007,Alabama,Bibb,15
01009,Alabama,Blount,18
01011,Alabama,Bullock,18
01013,Alabama,Butler,17
01015,Alabama,Calhoun,15
01017,Alabama,Chambers,16
01019,Alabama,Cherokee,17
01021,Alabama,Chilton,19
01023,Alabama,Choctaw,16
01025,Alabama,Clarke,17
01027,Alabama,Clay,19
01029,Alabama,Cleburne,16
01031,Alabama,Coffee,16
01033,Alabama,Colbert,14
01035,Alabama,Conecuh,18
01037,Alabama,Coosa,17
01039,Alabama,Covington,17
01041,Alabama,Crenshaw,16
01043,Alabama,Cullman,18
01045,Alabama,Dale,15
01047,Alabama,Dallas,15
01049,Alabama,DeKalb,22
01051,Alabama,Elmore,13
01053,Alabama,Escambia,20
01055,Alabama,Etowah,17
01057,Alabama,Fayette,15
01059,Alabama,Franklin,20
01061,Alabama,Geneva,19
01063,Alabama,Greene,16
01065,Alabama,Hale,16
01067,Alabama,Henry,17
01069,Alabama,Houston,16
01071,Alabama,Jackson,17
01073,Alabama,Jefferson,15
01075,Alabama,Lamar,17
01077,Alabama,Lauderdale,16
01079,Alabama,Lawrence,18
01081,Alabama,Lee,15
01083,Alabama,Limestone,16
01085,Alabama,Lowndes,16
01087,Alabama,Macon,15
01089,Alabama,Madison,14
01091,Alabama,Marengo,15
01093,Alabama,Marion,16
01095,Alabama,Marshall,19
01097,Alabama,Mobile,18
01099,Alabama,Monroe,17
01101,Alabama,Montgomery,15
01103,Alabama,Morgan,17
01105,Alabama,Perry,16
01107,Alabama,Pickens,16
01109,Alabama,Pike,18
01111,Alabama,Randolph,18
01113,Alabama,Russell,17
01115,Alabama,St. Clair,15
01117,Alabama,Shelby,11
01119,Alabama,Sumter,17
01121,Alabama,Talladega,15
01123,Alabama,Tallapoosa,16
01125,Alabama,Tuscaloosa,15
01127,Alabama,Walker,16
01129,Alabama,Washington,18
01131,Alabama,Wilcox,18
01133,Alabama,Winston,18
02000,Alaska,,22
02013,Alaska,Aleutians East,42
02016,Alaska,Aleutians West,29
02020,Alaska,Anchorage,20
02050,Alaska,Bethel,30
02060,Alaska,Bristol Bay,24
02068,Alaska,Denali,23
02070,Alaska,Dillingham,29
02090,Alaska,Fairbanks North Star,21
02100,Alaska,Haines,31
02110,Alaska,Juneau,19
02122,Alaska,Kenai Peninsula,24
02130,Alaska,Ketchikan Gateway,25
02150,Alaska,Kodiak Island,28
02164,Alaska,Lake and Peninsula,34
02170,Alaska,Matanuska-Susitna,22
02180,Alaska,Nome,28
02185,Alaska,North Slope,25
02188,Alaska,Northwest Arctic,30
02201,Alaska,Prince of Wales-Outer Ketchikan,31
02220,Alaska,Sitka,25
02232,Alaska,Skagway-Hoonah-Angoon,31
02240,Alaska,Southeast Fairbanks,30
02261,Alaska,Valdez-Cordova,25
02270,Alaska,Wade Hampton,30
02280,Alaska,Wrangell-Petersburg,25
02282,Alaska,Yakutat,36
02290,Alaska,Yukon-Koyukuk,37
04000,Arizona,,20
04001,Arizona,Apache,25
04003,Arizona,Cochise,19
04005,Arizona,Coconino,25
04007,Arizona,Gila,21
04009,Arizona,Graham,21
04011,Arizona,Greenlee,15
04012,Arizona,La Paz,27
04013,Arizona,Maricopa,20
04015,Arizona,Mohave,23
04017,Arizona,Navajo,23
04019,Arizona,Pima,19
04021,Arizona,Pinal,20
04023,Arizona,Santa Cruz,27
04025,Arizona,Yavapai,22
04027,Arizona,Yuma,27
05000,Arkansas,,19
05001,Arkansas,Arkansas,19
05003,Arkansas,Ashley,19
05005,Arkansas,Baxter,20
05007,Arkansas,Benton,19
05009,Arkansas,Boone,19
05011,Arkansas,Bradley,24
05013,Arkansas,Calhoun,20
05015,Arkansas,Carroll,27
05017,Arkansas,Chicot,21
05019,Arkansas,Clark,18
05021,Arkansas,Clay,20
05023,Arkansas,Cleburne,21
05025,Arkansas,Cleveland,19
05027,Arkansas,Columbia,19
05029,Arkansas,Conway,19
05031,Arkansas,Craighead,20
05033,Arkansas,Crawford,21
05035,Arkansas,Crittenden,18
05037,Arkansas,Cross,19
05039,Arkansas,Dallas,20
05041,Arkansas,Desha,20
05043,Arkansas,Drew,19
05045,Arkansas,Faulkner,17
05047,Arkansas,Franklin,20
05049,Arkansas,Fulton,22
05051,Arkansas,Garland,21
05053,Arkansas,Grant,17
05055,Arkansas,Greene,18
05057,Arkansas,Hempstead,23
05059,Arkansas,Hot Spring,18
05061,Arkansas,Howard,23
05063,Arkansas,Independence,21
05065,Arkansas,Izard,23
05067,Arkansas,Jackson,20
05069,Arkansas,Jefferson,16
05071,Arkansas,Johnson,24
05073,Arkansas,Lafayette,22
05075,Arkansas,Lawrence,21
05077,Arkansas,Lee,20
05079,Arkansas,Lincoln,20
05081,Arkansas,Little River,19
05083,Arkansas,Logan,20
05085,Arkansas,Lonoke,16
05087,Arkansas,Madison,24
05089,Arkansas,Marion,22
05091,Arkansas,Miller,19
05093,Arkansas,Mississippi,19
05095,Arkansas,Monroe,21
05097,Arkansas,Montgomery,23
05099,Arkansas,Nevada,19
05101,Arkansas,Newton,24
05103,Arkansas,Ouachita,16
05105,Arkansas,Perry,21
05107,Arkansas,Phillips,18
05109,Arkansas,Pike,25
05111,Arkansas,Poinsett,20
05113,Arkansas,Polk,24
05115,Arkansas,Pope,21
05117,Arkansas,Prairie,22
05119,Arkansas,Pulaski,17
05121,Arkansas,Randolph,21
05123,Arkansas,St. Francis,18
05125,Arkansas,Saline,15
05127,Arkansas,Scott,24
05129,Arkansas,Searcy,26
05131,Arkansas,Sebastian,22
05133,Arkansas,Sevier,29
05135,Arkansas,Sharp,24
05137,Arkansas,Stone,23
05139,Arkansas,Union,18
05141,Arkansas,Van Buren,22
05143,Arkansas,Washington,21
05145,Arkansas,White,20
05147,Arkansas,Woodruff,21
